Date,Price,Open,High,Low,Vol.,Change %
28-Apr-16,48.14,47.1,48.19,46.74,113.08K,2.03
27-Apr-16,47.18,46.26,47.45,45.63,150.79K,3.15
26-Apr-16,45.74,44.69,46.49,44.36,199.24K,2.83
25-Apr-16,44.48,45.13,45.59,44.26,211.68K,-1.4
22-Apr-16,45.11,44.75,45.9,44.3,272.85K,1.3
21-Apr-16,44.53,45.54,46.18,44.44,312.60K,-2.77
20-Apr-16,45.8,43.52,45.88,42.81,297.26K,4.02
19-Apr-16,44.03,43.14,44.5,42.6,355.95K,2.61
18-Apr-16,42.91,41.8,43.43,40.1,383.37K,-0.44
15-Apr-16,43.1,43.8,44.05,42.28,285.17K,-1.69
14-Apr-16,43.84,44.01,44.62,43.29,234.37K,-0.77
13-Apr-16,44.18,44.44,44.94,43.76,348.59K,-1.14
12-Apr-16,44.69,42.7,44.81,42.56,357.35K,4.34
11-Apr-16,42.83,42,43.06,41.41,279.92K,2.12
8-Apr-16,41.94,39.68,42.01,39.62,340.22K,6.37
7-Apr-16,39.43,39.9,40.29,38.7,308.72K,-1.03
6-Apr-16,39.84,38.4,39.94,38.34,323.37K,5.2
5-Apr-16,37.87,37.5,38.44,37.27,296.45K,0.48
4-Apr-16,37.69,38.69,38.92,37.5,286.65K,-2.53
1-Apr-16,38.67,40.14,40.43,38.55,286.17K,-2.35
31-Mar-16,39.6,39.12,40,38.74,27.80K,0.87
30-Mar-16,39.26,39.42,40.61,39.09,103.12K,0.31
29-Mar-16,39.14,40.19,40.25,38.76,149.53K,-2.81
28-Mar-16,40.27,40.58,41,39.64,78.61K,-0.42
24-Mar-16,40.44,40.4,40.64,39.22,203.28K,-0.07
23-Mar-16,40.47,41.56,41.82,40.42,240.91K,-3.16
22-Mar-16,41.79,41.47,42.08,40.97,268.21K,0.6
21-Mar-16,41.54,41.31,41.88,40.48,234.10K,0.83
18-Mar-16,41.2,41.38,42.54,41.07,286.65K,-0.82
17-Mar-16,41.54,40.45,41.6,40.41,249.23K,3
16-Mar-16,40.33,39.14,40.44,38.83,263.87K,4.1
15-Mar-16,38.74,39.67,39.74,38.32,224.36K,-2
14-Mar-16,39.53,40.25,40.65,38.82,264.71K,-2.13
11-Mar-16,40.39,40.33,41.03,40.02,276.65K,0.85
10-Mar-16,40.05,40.89,41.01,39.63,287.78K,-2.48
9-Mar-16,41.07,39.65,41.18,39.39,333.49K,3.58
8-Mar-16,39.65,40.71,41.48,39.31,352.25K,-2.91
7-Mar-16,40.84,38.88,41.04,38.87,341.91K,5.48
4-Mar-16,38.72,37.04,38.95,36.82,295.79K,4.45
3-Mar-16,37.07,37.05,37.37,36.35,256.49K,0.38
2-Mar-16,36.93,36.62,37.4,36.1,278.17K,0.33
1-Mar-16,36.81,36.6,37.25,35.95,276.26K,2.34
29-Feb-16,35.97,35.1,36.23,34.83,30.24K,2.48
26-Feb-16,35.1,35.1,37,34.73,126.42K,-0.54
25-Feb-16,35.29,34.39,35.74,33.29,210.57K,2.56
24-Feb-16,34.41,32.98,34.67,32.37,344.00K,3.43
23-Feb-16,33.27,34.54,35.11,32.9,348.08K,-4.09
22-Feb-16,34.69,33.25,34.97,32.85,233.33K,5.09
19-Feb-16,33.01,33.88,34.46,32.68,287.09K,-3.7
